연번,상가유형,호선,역명,상가번호,면적(제곱미터),영업업종,계약시작일자,계약종료일자,월임대료,사업진행단계
837,개별(일반),5호선,왕십리(5)역,540-405,55.83,패션잡화,2019-12-18,2025-01-16,3640000,
838,개별(일반),5호선,왕십리(5)역,540-406,50,사무실,2023-09-18,2028-10-18,567800,
839,입찰진행,5호선,왕십리(5)역,540-407,84.48,,,,,5단계. 입찰공고
840,개별(일반),5호선,왕십리(5)역,540-408,37,패션잡화,2023-05-19,2028-06-18,2660000,
841,개별(일반),5호선,왕십리(5)역,540-409,37,패션잡화,2023-07-14,2028-08-13,2383300,
842,개별(일반),5호선,왕십리(5)역,540-410,73.57,패션잡화,2021-05-10,2026-06-09,4030000,
843,브랜드전문,5호선,마장역,541-101,30,편의점,2023-09-22,2028-10-04,2964000,
844,개별(일반),5호선,답십리역,542-101,50,패션잡화,2020-06-15,2025-07-15,1250000,
845,개별(일반),5호선,답십리역,542-103,61.97,기타,2019-11-12,2024-12-11,421600,
846,개별(일반),5호선,답십리역,542-104,57.89,식음료,2020-08-03,2025-09-02,4560000,
847,개별(일반),5호선,답십리역,542-202,25.5,식음료,2019-08-24,2029-09-22,1877400,
848,개별(일반),5호선,답십리역,542-203,35.8,패션잡화,2023-11-15,2028-12-15,1855000,
849,브랜드전문,5호선,답십리역,542-204,40,편의점,2023-09-22,2028-10-04,2476500,
850,개별(일반),5호선,답십리역,542-205,28.86,패션잡화,2022-01-17,2027-02-16,2200000,
851,개별(일반),5호선,장한평역,543-102,31.9,패션잡화,2021-05-10,2026-06-09,2260000,
852,브랜드전문,5호선,장한평역,543-103,52.8,편의점,2023-09-22,2028-10-04,5206500,
853,브랜드전문,5호선,장한평역,543-201,29.8,식음료,2021-09-06,2026-11-05,4296737,
854,브랜드전문,5호선,장한평역,543-202,35.62,식음료,2024-01-15,2029-03-25,1813152,
855,브랜드전문,5호선,장한평역,543-203,31.98,기타,2022-09-07,2028-02-04,2161133,
856,개별(일반),5호선,군자(5)역,544-103,148.7,패션잡화,2023-10-04,2028-11-18,7100000,
857,개별(일반),5호선,군자(5)역,544-107,44.67,화장품,2020-02-20,2025-03-21,3600000,
858,브랜드전문,5호선,아차산역,545-101,19.6,식음료,2021-09-06,2026-11-05,3182079,
859,개별(일반),5호선,아차산역,545-102,19.6,패션잡화,2024-05-07,2029-06-06,2637000,
860,개별(일반),5호선,아차산역,545-103,31.21,패션잡화,2020-12-31,2026-01-30,2930000,
861,브랜드전문,5호선,아차산역,545-201,48.37,패션잡화,2018-05-09,2025-07-07,3594115,
862,브랜드전문,5호선,아차산역,545-202,28.72,편의점,2023-09-22,2028-10-04,4660500,
863,공실,5호선,아차산역,545-203,44.22,,,,,1단계. 사업계획 수립중
864,브랜드전문,5호선,광나루역,546-101,53.26,패션잡화,2018-05-09,2025-07-07,3766731,
865,개별(일반),5호선,광나루역,546-201,62.2,식음료,2020-09-18,2025-10-18,3063600,
866,브랜드전문,5호선,광나루역,546-202,45,편의점,2023-09-22,2028-10-04,6922500,
867,개별(일반),5호선,광나루역,546-203,17.86,플라워,2018-10-23,2028-11-21,2221600,
868,복합,5호선,천호(5)역,547-101,210,패션잡화,2022-11-05,2027-11-04,28913500,
869,복합,5호선,천호(5)역,547-102,214.67,화장품,2022-11-05,2027-11-04,29064529,
870,복합,5호선,천호(5)역,547-103,142.68,패션잡화,2022-11-05,2027-11-04,19317683,
871,복합,5호선,천호(5)역,547-104,142.68,패션잡화,2022-11-05,2027-11-04,19317683,
872,복합,5호선,천호(5)역,547-105,120.19,패션잡화,2022-11-05,2027-11-04,16272724,
873,복합,5호선,천호(5)역,547-106,138.17,패션잡화,2022-11-05,2027-11-04,14806067,
874,복합,5호선,천호(5)역,547-107,,패션잡화,2022-11-05,2027-11-04,,
875,복합,5호선,천호(5)역,547-110,38.58,패션잡화,2022-11-05,2027-11-04,5138535,
876,복합,5호선,천호(5)역,547-111,30.65,패션잡화,2022-11-05,2027-11-04,4082325,
877,복합,5호선,천호(5)역,547-112,30.65,패션잡화,2022-11-05,2027-11-04,4082325,
878,복합,5호선,천호(5)역,547-113,23.54,화장품,2022-11-05,2027-11-04,3135332,
879,복합,5호선,천호(5)역,547-114,23.54,화장품,2022-11-05,2027-11-04,3135332,
880,복합,5호선,천호(5)역,547-115,23.54,화장품,2022-11-05,2027-11-04,3135332,
881,복합,5호선,천호(5)역,547-116,47.32,패션잡화,2022-11-05,2027-11-04,6567227,
882,복합,5호선,천호(5)역,547-117,34.15,식음료,2022-11-05,2027-11-04,4739451,
883,복합,5호선,천호(5)역,547-119,34.17,패션잡화,2022-11-05,2027-11-04,4742227,
884,복합,5호선,천호(5)역,547-121,66.6,의약업,2022-11-05,2027-11-04,7893765,
885,복합,5호선,천호(5)역,547-122,72.11,식음료,2022-11-05,2027-11-04,8546838,
886,복합,5호선,천호(5)역,547-123,22.41,식음료,2022-11-05,2027-11-04,2656145,
887,복합,5호선,천호(5)역,547-124,23.42,편의점,2022-11-05,2027-11-04,2775855,
888,복합,5호선,천호(5)역,547-125,19.59,식음료,2022-11-05,2027-11-04,2321905,
889,복합,5호선,천호(5)역,547-126,38.7,사무실,2022-11-05,2027-11-04,1309027,
890,복합,5호선,천호(5)역,547-127,23.92,기타,2022-11-05,2027-11-04,3185944,
891,복합,5호선,천호(5)역,547-128,47.55,패션잡화,2022-11-05,2027-11-04,6333264,
892,복합,5호선,천호(5)역,547-201,22.38,패션잡화,2022-11-05,2027-11-04,2069963,
893,복합,5호선,천호(5)역,547-202,56.22,패션잡화,2022-11-05,2027-11-04,5199881,
894,복합,5호선,천호(5)역,547-203,238.24,식음료,2022-11-05,2027-11-04,22035215,
895,개별(일반),5호선,강동역,548-101,15,식음료,2020-03-02,2025-04-01,2842500,
896,개별(일반),5호선,강동역,548-102,15,패션잡화,2019-12-20,2025-01-18,2638000,
897,브랜드전문,5호선,강동역,548-103,57.26,편의점,2023-09-22,2028-10-04,6532500,
898,개별(일반),5호선,강동역,548-104,24.44,패션잡화,2020-10-23,2025-11-22,1880000,
899,공실,5호선,강동역,548-302,31.58,,,,,2단계. 시설물 점검
900,개별(일반),5호선,강동역,548-303,20.44,패션잡화,2024-11-07,2029-12-07,2500200,
901,공실,5호선,강동역,548-304,96.47,,,,,1단계. 사업계획 수립중
902,공실,5호선,강동역,548-305,202.41,,,,,1단계. 사업계획 수립중
903,공실,5호선,강동역,548-306,16.4,,,,,1단계. 사업계획 수립중
904,브랜드전문,5호선,길동역,549-101,31.82,편의점,2023-09-22,2028-10-04,2281500,
905,브랜드전문,5호선,굽은다리역,550-101,30,편의점,2023-09-22,2028-10-04,3607500,
906,브랜드전문,5호선,굽은다리역,550-102,14.5,기타,2022-09-07,2028-02-04,196467,
907,브랜드전문,5호선,굽은다리역,550-103,34.43,식음료,2024-01-15,2029-03-25,1730736,
908,개별(일반),5호선,굽은다리역,550-104,34.43,식음료,2020-09-18,2025-10-18,2516600,
909,입찰진행,5호선,굽은다리역,550-105,23,,,,,3단계. 감정평가
910,브랜드전문,5호선,명일역,551-101,30,편의점,2023-09-22,2028-10-04,3412500,
911,개별(일반),5호선,명일역,551-102,44.27,패션잡화,2018-10-23,2028-11-21,2373300,
912,개별(일반),5호선,명일역,551-103,25.05,무인프린트,2022-10-31,2027-11-30,894900,
913,브랜드전문,5호선,명일역,551-104,29.77,기타,2023-06-05,2028-08-14,1067719,
914,브랜드전문,5호선,고덕역,552-101,28.62,편의점,2023-09-22,2028-10-04,3354000,
915,개별(일반),5호선,고덕역,552-102,42.94,식음료,2022-12-15,2028-01-14,5555500,
916,브랜드전문,5호선,상일동역,553-101,31.46,편의점,2023-09-22,2028-10-04,3588000,
917,입찰진행,5호선,상일동역,553-103,17.92,,,,,3단계. 감정평가
918,브랜드전문,5호선,둔촌동역,554-101,29,편의점,2023-09-22,2028-10-04,3295500,
919,개별(일반),5호선,둔촌동역,554-102,28.71,식음료,2023-05-19,2028-06-18,2273000,
920,브랜드전문,5호선,둔촌동역,554-104,31.17,식음료,2024-01-15,2029-03-25,2637312,
921,개별(일반),5호선,둔촌동역,554-105,49.53,패션잡화,2023-05-26,2028-06-25,3900000,
922,브랜드전문,5호선,올림픽공원역,555-201,37.2,편의점,2023-09-22,2028-10-04,2437500,
923,개별(일반),5호선,방이역,556-101,19.3,패션잡화,2022-04-28,2027-05-28,1030000,
924,브랜드전문,5호선,방이역,556-102,36.48,편의점,2023-09-22,2028-10-04,3978000,
925,브랜드전문,5호선,오금(5)역,557-101,27.38,편의점,2023-09-22,2028-10-04,2691000,
926,브랜드전문,5호선,개롱역,558-101,40,편의점,2023-09-22,2028-10-04,3490500,
927,브랜드전문,5호선,거여역,559-101,28.98,편의점,2023-09-22,2028-10-04,3159000,
928,브랜드전문,5호선,마천역,560-201,30,편의점,2023-09-22,2028-10-04,2944500,
929,입찰진행,5호선,강일역,561-201,72.56,,,,,3단계. 감정평가
930,공실,5호선,강일역,561-202,91.96,,,,,1단계. 사업계획 수립중
931,브랜드전문,6호선,응암역,610-101,34.64,식음료,2021-09-06,2026-11-05,7940972,
932,브랜드전문,6호선,응암역,610-102,30,기타,2023-06-05,2028-08-14,2032373,
933,브랜드전문,6호선,응암역,610-103,50,식음료,2022-12-02,2028-04-01,3959838,
934,브랜드전문,6호선,응암역,610-104,31,화장품,2022-08-01,2027-12-29,2214894,
935,개별(일반),6호선,응암역,610-105,15,패션잡화,2022-10-25,2027-11-24,1562000,
936,브랜드전문,6호선,응암역,610-201,38.8,편의점,2022-02-03,2027-05-04,12005352,
937,브랜드전문,6호선,역촌역,611-101,31.5,편의점,2022-02-03,2027-05-04,2585123,
938,입찰진행,6호선,역촌역,611-102,72,,,,,5단계. 입찰공고
939,입찰진행,6호선,역촌역,611-103,37,,,,,5단계. 입찰공고
940,입찰진행,6호선,역촌역,611-104,37,,,,,5단계. 입찰공고
941,개별(일반),6호선,불광(6)역,612-101,43,기타,2020-02-24,2025-02-24,495000,
942,공실,6호선,불광(6)역,612-103,47,,,,,2단계. 시설물 점검
943,브랜드전문,6호선,불광(6)역,612-202,30,편의점,2022-02-03,2027-05-04,898305,
944,브랜드전문,6호선,독바위역,613-101,31.3,편의점,2022-02-03,2027-05-04,1839752,
945,브랜드전문,6호선,연신내(6)역,614-101,44,편의점,2022-02-03,2027-05-04,8734634,
946,개별(일반),6호선,연신내(6)역,614-301,12,식음료,2020-02-24,2025-03-25,1386900,
947,공실,6호선,연신내(6)역,614-302,26.6,,,,,1단계. 사업계획 수립중
948,브랜드전문,6호선,구산역,615-101,33.2,편의점,2022-02-03,2027-05-04,5228359,
949,개별(일반),6호선,구산역,615-103,30,패션잡화,2024-05-02,2029-06-01,1700500,
950,브랜드전문,6호선,구산역,615-104,33,밀키트,2023-06-23,2028-09-01,898612,
951,공실,6호선,새절역,616-101,43.6,,,,,1단계. 사업계획 수립중
952,브랜드전문,6호선,새절역,616-102,25,편의점,2022-02-03,2027-05-04,6460036,
953,개별(일반),6호선,새절역,616-103,30.14,패션잡화,2021-03-18,2026-04-17,3780000,
954,개별(일반),6호선,새절역,616-104,26,패션잡화,2018-10-23,2028-11-21,3604600,
955,브랜드전문,6호선,증산역,617-101,28,편의점,2022-02-03,2027-05-04,5775771,
956,입찰진행,6호선,증산역,617-102,31,,,,,5단계. 입찰공고
957,브랜드전문,6호선,증산역,617-103,37,기타,2022-09-07,2028-02-04,1768200,
958,브랜드전문,6호선,증산역,617-104,29,화장품,2022-08-01,2027-12-29,1414221,
959,개별(일반),6호선,증산역,617-105,48,패션잡화,2024-05-24,2029-06-23,2650000,
960,개별(일반),6호선,디지털미디어시티역,618-003,95.86,의약업,2016-10-20,2027-01-18,3882000,
961,개별(대형),6호선,디지털미디어시티역,618-004,212.39,의약업,2016-10-21,2027-01-19,4970000,
962,공실,6호선,디지털미디어시티역,618-101,31.64,,,,,1단계. 사업계획 수립중
963,브랜드전문,6호선,디지털미디어시티역,618-102,33,편의점,2022-02-03,2027-05-04,4574703,
964,개별(일반),6호선,디지털미디어시티역,618-103,30,패션잡화,2023-10-12,2028-11-11,1350000,
965,개별(일반),6호선,디지털미디어시티역,618-104,110,기타,2024-04-02,2029-05-17,3000000,
966,개별(일반),6호선,디지털미디어시티역,618-106,70,패션잡화,2024-11-11,2029-12-11,2062000,
967,입찰진행,6호선,디지털미디어시티역,618-108,81,,,,,5단계. 입찰공고
968,브랜드전문,6호선,디지털미디어시티역,618-109,33,화장품,2022-08-01,2027-12-29,1684136,
969,브랜드전문,6호선,월드컵경기장역,619-201,43,편의점,2022-02-03,2027-05-04,2765893,
970,브랜드전문,6호선,마포구청역,620-101,39,편의점,2022-02-03,2027-05-04,6487761,
971,입찰진행,6호선,마포구청역,620-102,32.58,,,,,5단계. 입찰공고
972,개별(일반),6호선,마포구청역,620-104,73,사무실,2022-03-11,2027-04-10,508200,
973,개별(일반),6호선,마포구청역,620-201,40,패션잡화,2024-01-15,2029-02-14,1383300,
974,브랜드전문,6호선,마포구청역,620-202,51,화장품,2022-08-01,2027-12-29,1793009,
975,개별(일반),6호선,마포구청역,620-204,44,기타,2024-05-23,2029-06-22,757200,
976,브랜드전문,6호선,망원역,621-101,28,편의점,2022-02-03,2027-05-04,5682613,
977,개별(일반),6호선,망원역,621-102,45.17,패션잡화,2021-11-17,2026-12-17,2120000,
978,브랜드전문,6호선,망원역,621-103,29,화장품,2022-08-01,2027-12-29,1052443,
979,개별(일반),6호선,망원역,621-104,50,무인프린트,2023-06-19,2028-07-19,1333300,
980,브랜드전문,6호선,망원역,621-105,39,식음료,2023-02-27,2028-05-28,3545670,
981,개별(일반),6호선,합정(6)역,622-101,28.51,식음료,2021-03-15,2026-04-14,4033300,
982,팝업스토어,6호선,합정(6)역,622-102,37.67,기타,,,,
983,브랜드전문,6호선,합정(6)역,622-103,45,편의점,2022-02-03,2027-05-04,14622415,
984,개별(일반),6호선,합정(6)역,622-106,58,플라워,2023-10-04,2028-11-03,7287800,
985,입찰진행,6호선,합정(6)역,622-107,42.41,,,,,3단계. 감정평가
986,복합,6호선,합정(6)역,622-108,50,의약업,2022-08-11,2028-01-08,3443200,
987,복합,6호선,합정(6)역,622-109,60,의약업,2022-08-11,2028-01-08,6045050,
988,복합,6호선,합정(6)역,622-117,75,의약업,2022-08-11,2028-01-08,5169950,
989,개별(일반),6호선,합정(6)역,622-301,11.7,패션잡화,2021-07-09,2026-08-08,4500000,
990,소송상가,6호선,합정(6)역,622-302,42.2,패션잡화,2017-02-22,2022-05-23,8057669,
991,개별(일반),6호선,합정(6)역,622-303,15.8,식음료,2022-04-28,2027-05-28,12570000,
992,개별(일반),6호선,합정(6)역,622-304,33.2,패션잡화,2023-10-04,2028-11-03,12315000,
993,소송상가,6호선,합정(6)역,622-305,90.4,패션잡화,2017-02-22,2022-05-23,14505111,
994,소송상가,6호선,합정(6)역,622-306,12.6,화장품,2017-02-22,2022-05-23,1986274,
995,브랜드전문,6호선,합정(6)역,622-307,22.54,플라워,2018-11-27,2029-01-25,3183550,
996,브랜드전문,6호선,합정(6)역,622-308,33.9,패션잡화,2022-12-16,2028-04-15,2942357,
997,브랜드전문,6호선,상수역,623-101,33,화장품,2023-08-09,2028-09-23,2599000,
998,브랜드전문,6호선,상수역,623-102,33,무인프린트,2024-12-23,2030-02-21,2218776,
999,브랜드전문,6호선,상수역,623-201,35,편의점,2022-02-03,2027-05-04,7569055,
1000,브랜드전문,6호선,상수역,623-202,29,밀키트,2023-06-23,2028-09-01,919947,
1001,개별(일반),6호선,상수역,623-203,38,기타,2023-04-27,2028-05-27,2450000,
1002,개별(일반),6호선,상수역,623-204,41,플라워,2022-12-15,2028-01-14,2900000,
1003,브랜드전문,6호선,광흥창역,624-101,40,편의점,2022-02-03,2027-05-04,3992468,
1004,입찰진행,6호선,광흥창역,624-102,25,,,,,5단계. 입찰공고
1005,공실,6호선,광흥창역,624-203,187,,,,,2단계. 시설물 점검
1006,브랜드전문,6호선,대흥역,625-101,45,편의점,2022-02-03,2027-05-04,7186443,
1007,개별(일반),6호선,대흥역,625-102,43.67,패션잡화,2019-11-19,2024-12-18,2870000,
1008,개별(일반),6호선,공덕(6)역,626-124,36,패션잡화,2023-03-27,2028-04-26,7821000,
1009,개별(일반),6호선,공덕(6)역,626-125,37,패션잡화,2020-02-24,2025-03-25,6671100,
1010,개별(일반),6호선,공덕(6)역,626-126,32,패션잡화,2024-06-21,2029-07-21,8549000,
1011,개별(일반),6호선,공덕(6)역,626-127,27,패션잡화,2022-06-09,2027-07-09,4120000,
1012,브랜드전문,6호선,공덕(6)역,626-128,24,화장품,2023-08-09,2028-09-23,7030000,
1013,브랜드전문,6호선,공덕(6)역,626-129,39.4,편의점,2022-02-03,2027-05-04,12977518,
1014,공실,6호선,공덕(6)역,626-130,30,,,,,1단계. 사업계획 수립중
1015,개별(일반),6호선,공덕(6)역,626-131,22,기타,2024-11-25,2029-12-25,2800000,
1016,개별(일반),6호선,공덕(6)역,626-132,32,식음료,2020-07-16,2025-08-15,6880000,
1017,브랜드전문,6호선,공덕(6)역,626-133,48,식음료,2022-07-18,2027-10-16,6758939,
1018,개별(대형),6호선,공덕(6)역,626-135,165,식음료,2021-07-12,2026-07-12,23540000,
1019,개별(일반),6호선,공덕(6)역,626-136,112,패션잡화,2023-01-01,2024-12-31,10968800,
1020,개별(일반),6호선,공덕(6)역,626-201,13.6,패션잡화,2024-12-26,2030-01-25,1000000,
1021,브랜드전문,6호선,공덕(6)역,626-202,52,식음료,2022-12-02,2028-04-01,3299865,
1022,브랜드전문,6호선,효창공원앞역,627-101,43,편의점,2022-02-03,2027-05-04,6485543,
1023,개별(일반),6호선,효창공원앞역,627-102,33,패션잡화,2024-06-17,2029-07-17,1600000,
1024,공실,6호선,효창공원앞역,627-103,31,,,,,2단계. 시설물 점검
1025,공실,6호선,효창공원앞역,627-104,33,,,,,2단계. 시설물 점검
1026,브랜드전문,6호선,효창공원앞역,627-105,31,화장품,2022-08-01,2027-12-29,984397,
1027,공실,6호선,효창공원앞역,627-106,63,,,,,2단계. 시설물 점검
1028,개별(일반),6호선,삼각지(6)역,628-165,258.2,사무실,2020-06-26,2025-06-25,1882000,
1029,브랜드전문,6호선,삼각지(6)역,628-301,31.8,편의점,2022-02-03,2027-05-04,4937353,
1030,개별(일반),6호선,삼각지(6)역,628-307,46,식음료,2024-01-26,2029-02-25,1600000,
1031,개별(일반),6호선,삼각지(6)역,628-308,40,패션잡화,2024-12-30,2030-01-29,1700000,
1032,브랜드전문,6호선,녹사평역,629-101,40,편의점,2022-02-03,2027-05-04,6254867,
1033,브랜드전문,6호선,이태원역,630-101,25,편의점,2022-02-03,2027-05-04,8483995,
1034,브랜드전문,6호선,이태원역,630-103,34,화장품,2022-08-01,2027-12-29,3123307,
1035,브랜드전문,6호선,한강진역,631-101,40,편의점,2022-02-03,2027-05-04,6033063,
1036,공실,6호선,한강진역,631-102,64,,,,,2단계. 시설물 점검
1037,개별(일반),6호선,한강진역,631-104,62,식음료,2020-07-06,2025-08-05,2133300,
1038,브랜드전문,6호선,한강진역,631-105,64,화장품,2022-08-01,2027-12-29,1524228,
1039,브랜드전문,6호선,약수(6)역,633-203,77,편의점,2022-02-03,2027-05-04,7685502,
1040,브랜드전문,6호선,신당(6)역,635-101,40,편의점,2022-02-03,2027-05-04,5456374,
1041,개별(일반),6호선,신당(6)역,635-103,73,패션잡화,2023-09-25,2028-10-25,3616600,
1042,브랜드전문,6호선,신당(6)역,635-106,26,무인프린트,2022-08-30,2028-01-27,651324,
1043,공실,6호선,신당(6)역,635-201,34.1,,,,,1단계. 사업계획 수립중
1044,입찰진행,6호선,신당(6)역,635-202,142.14,,,,,3단계. 감정평가
1045,개별(일반),6호선,신당(6)역,635-203,30,플라워,2020-01-10,2025-02-08,1985000,
1046,브랜드전문,6호선,동묘앞(6)역,636-201,48,편의점,2022-02-03,2027-05-04,5163592,
1047,입찰진행,6호선,동묘앞(6)역,636-203,66,,,,,5단계. 입찰공고
1048,입찰진행,6호선,동묘앞(6)역,636-205,56,,,,,5단계. 입찰공고
1049,브랜드전문,6호선,동묘앞(6)역,636-207,43,화장품,2022-08-01,2027-12-29,1267922,
1050,브랜드전문,6호선,창신역,637-101,28,편의점,2022-02-03,2027-05-04,1956310,
1051,개별(일반),6호선,보문역,638-102,14.1,식음료,2023-10-04,2028-11-03,1700000,
1052,브랜드전문,6호선,보문역,638-103,35,편의점,2022-02-03,2027-05-04,5162483,
1053,개별(일반),6호선,보문역,638-105,24,패션잡화,2022-12-15,2028-01-14,1500000,
1054,브랜드전문,6호선,보문역,638-106,36,화장품,2022-08-01,2027-12-29,979861,
1055,입찰진행,6호선,안암역,639-103,62,,,,,5단계. 입찰공고
1056,개별(일반),6호선,안암역,639-105,17,식음료,2023-01-25,2028-02-24,1850000,
1057,브랜드전문,6호선,안암역,639-201,42.2,편의점,2022-02-03,2027-05-04,10717338,
1058,브랜드전문,6호선,안암역,639-202,40.99,화장품,2022-08-01,2027-12-29,2417302,
1059,개별(일반),6호선,안암역,639-204,27,기타,2023-09-04,2028-10-04,1296600,
1060,브랜드전문,6호선,고려대역,640-101,35,편의점,2022-02-03,2027-05-04,7763133,
1061,브랜드전문,6호선,고려대역,640-102,38.4,플라워,2022-10-27,2028-02-24,1080094,
1062,브랜드전문,6호선,고려대역,640-103,125,화상면접,2022-09-06,2028-01-04,1660862,
1063,브랜드전문,6호선,월곡역,641-101,35,편의점,2022-02-03,2027-05-04,8190105,
1064,입찰진행,6호선,월곡역,641-102,27,,,,,5단계. 입찰공고
1065,입찰진행,6호선,월곡역,641-103,30,,,,,5단계. 입찰공고
1066,개별(일반),6호선,월곡역,641-201,31.83,식음료,2018-11-27,2028-12-26,1087000,
1067,개별(일반),6호선,월곡역,641-202,16,식음료,2023-04-28,2028-05-28,350000,
1068,브랜드전문,6호선,월곡역,641-203,58,화장품,2022-08-01,2027-12-29,1315554,
1069,브랜드전문,6호선,상월곡역,642-201,38.4,편의점,2022-02-03,2027-05-04,3108802,
1070,브랜드전문,6호선,돌곶이역,643-101,37.8,편의점,2022-02-03,2027-05-04,6371979,
1071,브랜드전문,6호선,돌곶이역,643-102,53,패션잡화,2022-12-16,2028-04-15,1681541,
1072,개별(일반),6호선,돌곶이역,643-103,30,식음료,2023-11-23,2028-12-23,1283300,
1073,개별(일반),6호선,돌곶이역,643-104,41,패션잡화,2020-07-24,2025-08-23,3270000,
1074,브랜드전문,6호선,돌곶이역,643-105,22,기타,2022-09-07,2028-02-04,982333,
1075,개별(일반),6호선,돌곶이역,643-106,15,식음료,2022-08-30,2027-09-29,700000,
1076,개별(일반),6호선,돌곶이역,643-107,37,패션잡화,2022-10-31,2027-11-30,719300,
1077,개별(일반),6호선,석계역,644-102,72,패션잡화,2022-10-31,2027-11-30,1710000,
1078,입찰진행,6호선,석계역,644-103,84,,,,,5단계. 입찰공고
1079,입찰진행,6호선,석계역,644-107,29,,,,,5단계. 입찰공고
1080,개별(일반),6호선,석계역,644-201,12.5,패션잡화,2024-12-26,2030-01-25,815500,
1081,브랜드전문,6호선,석계역,644-202,25.7,식음료,2021-09-06,2026-11-05,6595610,
1082,브랜드전문,6호선,석계역,644-205,58,편의점,2022-02-03,2027-05-04,11771128,
1083,입찰진행,6호선,석계역,644-208,94,,,,,5단계. 입찰공고
1084,공실,6호선,석계역,644-211,33,,,,,1단계. 사업계획 수립중
1085,브랜드전문,6호선,석계역,644-212,33,기타,2022-09-07,2028-02-04,2554067,
1086,입찰진행,6호선,태릉입구(6)역,645-101,22.97,,,,,5단계. 입찰공고
1087,개별(일반),6호선,태릉입구(6)역,645-103,31.5,패션잡화,2019-10-29,2024-11-27,1290000,
1088,개별(일반),6호선,태릉입구(6)역,645-104,40,식음료,2019-11-12,2024-12-11,1680000,
1089,개별(일반),6호선,태릉입구(6)역,645-106,36,패션잡화,2021-01-15,2026-03-01,729000,
1090,브랜드전문,6호선,태릉입구(6)역,645-109,39,플라워,2022-10-27,2028-02-24,906588,
1091,브랜드전문,6호선,태릉입구(6)역,645-110,78,패션잡화,2022-10-11,2028-02-08,2368090,
1092,브랜드전문,6호선,태릉입구(6)역,645-112,38,패션잡화,2023-01-16,2028-05-16,1890402,
1093,개별(일반),6호선,태릉입구(6)역,645-113,33,기타,2020-07-23,2025-08-22,1483300,
1094,입찰진행,6호선,태릉입구(6)역,645-114,97,,,,,3단계. 감정평가
1095,개별(일반),6호선,태릉입구(6)역,645-301,27.27,패션잡화,2024-11-05,2029-12-05,4560000,
1096,개별(일반),6호선,태릉입구(6)역,645-302,118,패션잡화,2023-08-17,2028-10-01,16510300,
1097,브랜드전문,6호선,화랑대역,646-101,30,편의점,2022-02-03,2027-05-04,5423103,
1098,브랜드전문,6호선,화랑대역,646-102,34.6,밀키트,2023-06-23,2028-09-01,1003697,
1099,개별(일반),6호선,화랑대역,646-103,32,패션잡화,2019-08-24,2029-09-22,1178500,
1100,브랜드전문,6호선,화랑대역,646-104,80,화장품,2023-08-09,2028-09-23,3740000,
1101,개별(일반),6호선,화랑대역,646-106,28,식음료,2020-07-06,2025-08-05,4014800,
1102,브랜드전문,6호선,화랑대역,646-107,35,기타,2022-09-07,2028-02-04,785867,
1103,브랜드전문,6호선,봉화산역,647-101,47,편의점,2022-02-03,2027-05-04,5003894,
1104,입찰진행,6호선,봉화산역,647-102,87,,,,,5단계. 입찰공고
1105,입찰진행,6호선,봉화산역,647-105,33,,,,,5단계. 입찰공고
1106,개별(일반),6호선,봉화산역,647-107,27,기타,2020-07-06,2025-08-05,1130000,
1107,개별(일반),7호선,도봉산역,710-006,36,패션잡화,2022-11-14,2027-12-14,1310000,
1108,개별(일반),7호선,도봉산역,710-007,44,식음료,2020-07-24,2025-08-23,1110000,
1109,개별(일반),7호선,도봉산역,710-008,38,식음료,2020-07-02,2025-08-01,1083300,
1110,공실,7호선,수락산역,711-102,47.43,,,,,1단계. 사업계획 수립중
1111,입찰진행,7호선,수락산역,711-201,40.08,,,,,3단계. 감정평가
1112,브랜드전문,7호선,수락산역,711-202,37.88,편의점,2020-02-13,2025-04-12,8858850,
1113,개별(일반),7호선,수락산역,711-203,56.48,패션잡화,2019-10-29,2024-11-27,1670000,
1114,공실,7호선,수락산역,711-204,44,,,,,2단계. 시설물 점검
1115,공실,7호선,수락산역,711-205,43,,,,,2단계. 시설물 점검
1116,입찰진행,7호선,수락산역,711-206,44,,,,,3단계. 감정평가
1117,개별(일반),7호선,수락산역,711-207,58,기타,2020-07-02,2025-08-01,1767700,
1118,개별(일반),7호선,마들역,712-101,33,플라워,2020-05-29,2025-06-28,466600,
1119,개별(일반),7호선,마들역,712-102,33,패션잡화,2019-10-29,2024-11-27,500000,
1120,개별(일반),7호선,마들역,712-105,33,기타,2020-03-02,2025-05-01,2466000,
1121,개별(일반),7호선,마들역,712-106,33,기타,2020-03-02,2025-05-01,,
1122,개별(일반),7호선,마들역,712-107,33,기타,2020-03-02,2025-05-01,,
1123,브랜드전문,7호선,마들역,712-108,33,기타,2024-06-07,2029-08-16,514030,
1124,개별(일반),7호선,마들역,712-109,33,무인프린트,2023-07-19,2028-08-18,505000,
1125,브랜드전문,7호선,마들역,712-111,33.11,편의점,2020-02-13,2025-04-12,6137560,
1126,브랜드전문,7호선,마들역,712-113,230.7,공유오피스,2021-05-07,2026-11-03,2120183,
1127,개별(일반),7호선,마들역,712-114,33,기타,2020-03-02,2025-05-01,,
1128,개별(일반),7호선,마들역,712-115,33,기타,2020-03-02,2025-05-01,,
1129,개별(일반),7호선,마들역,712-116,45,기타,2020-03-02,2025-05-01,,
1130,개별(일반),7호선,마들역,712-117,35,기타,2020-03-02,2025-05-01,,
